Set,Pc_id,peak_temp,Avg_temp

Set1/Set_1_m_4_U_50_n_20_tss_50.txt,0,58,44
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,1,52,44
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,2,39,33
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,3,53,38
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,0,55,43
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,1,50,43
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,2,39,32
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,3,46,36
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,0,37,28
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,1,30,25
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,2,26,18
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,3,29,21
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,0,37,28
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,1,30,25
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,2,26,18
Set1/Set_1_m_4_U_50_n_20_tss_50.txt,3,29,20
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,0,62,52
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,1,60,46
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,2,64,50
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,3,53,39
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,0,59,51
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,1,56,45
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,2,58,48
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,3,50,38
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,0,47,43
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,1,37,30
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,2,38,33
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,3,27,25
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,0,46,43
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,1,37,31
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,2,37,33
Set1/Set_1_m_4_U_50_n_20_tss_60.txt,3,27,25
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,0,77,57
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,1,88,57
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,2,57,43
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,3,73,53
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,0,68,56
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,1,84,56
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,2,57,42
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,3,66,51
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,0,70,54
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,1,46,33
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,2,35,26
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,3,37,37
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,0,67,54
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,1,46,33
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,2,35,26
Set1/Set_1_m_4_U_50_n_20_tss_70.txt,3,37,37
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,0,78,62
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,1,94,69
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,2,70,50
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,3,66,52
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,0,72,60
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,1,82,68
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,2,64,48
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,3,65,49
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,0,61,51
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,1,70,56
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,2,36,33
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,3,36,34
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,0,57,50
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,1,66,57
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,2,36,34
Set1/Set_1_m_4_U_50_n_20_tss_80.txt,3,36,34
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,0,99,74
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,1,89,66
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,2,92,66
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,3,87,56
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,0,93,75
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,1,79,66
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,2,80,65
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,3,87,56
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,0,91,72
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,1,54,45
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,2,49,41
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,3,51,51
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,0,89,73
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,1,53,45
Set1/Set_1_m_4_U_50_n_20_tss_90.txt,2,48,42
